championStats_abilityHaste,championStats_abilityPower,championStats_armor,championStats_armorPen,championStats_armorPenPercent,championStats_attackDamage,championStats_attackSpeed,championStats_bonusArmorPenPercent,championStats_bonusMagicPenPercent,championStats_ccReduction,championStats_cooldownReduction,championStats_health,championStats_healthMax,championStats_healthRegen,championStats_lifesteal,championStats_magicPen,championStats_magicPenPercent,championStats_magicResist,championStats_movementSpeed,championStats_omnivamp,championStats_physicalVamp,championStats_power,championStats_powerMax,championStats_powerRegen,championStats_spellVamp,currentGold,damageStats_magicDamageDone,damageStats_magicDamageDoneToChampions,damageStats_magicDamageTaken,damageStats_physicalDamageDone,damageStats_physicalDamageDoneToChampions,damageStats_physicalDamageTaken,damageStats_totalDamageDone,damageStats_totalDamageDoneToChampions,damageStats_totalDamageTaken,damageStats_trueDamageDone,damageStats_trueDamageDoneToChampions,damageStats_trueDamageTaken,goldPerSecond,jungleMinionsKilled,level,minionsKilled,participantId,position_x,position_y,timeEnemySpentControlled,totalGold,xp,timestamp,info_matchId
0,0,54,0,0,132,116,0,0,0,0,1227,1324,21,3,0,0,41,340,0,0,0,0,0,0,993,0,0,99,14260,2762,2903,14550,2940,3002,290,178,0,0,0,7,50,1,1150,10656,14987,2693,3188,480176,EUW1_7275124164
0,0,54,0,0,148,116,0,0,0,0,1354,1354,21,3,0,0,41,340,0,0,0,0,0,0,317,0,0,377,16959,3667,4043,17249,3845,4421,290,178,0,0,0,7,55,1,1282,10143,20528,2892,3462,540212,EUW1_7275124164
0,0,58,0,0,152,120,0,0,0,0,1210,1457,106,3,0,0,43,340,0,0,0,0,0,0,703,0,0,377,22691,4000,4386,22981,4178,4764,290,178,0,0,0,8,67,1,2545,11616,28332,3279,4200,600236,EUW1_7275124164
0,0,58,0,0,159,120,0,0,0,0,1457,1457,22,3,0,0,43,365,0,0,0,0,0,0,207,0,0,609,25880,5388,5649,26380,5776,6258,500,388,0,0,0,8,68,1,3495,8425,33731,3432,4295,660248,EUW1_7275124164
0,0,62,0,0,163,123,0,0,0,0,1564,1564,23,3,0,0,45,365,0,0,0,0,0,0,576,0,0,609,32092,5719,5909,32592,6107,6518,500,388,0,0,2,9,76,1,2438,13484,35503,3801,5041,720272,EUW1_7275124164
0,0,62,0,0,166,123,0,0,0,0,1560,1564,23,3,0,0,45,365,0,0,0,0,0,0,990,0,0,609,38830,6249,6054,39330,6637,6663,500,388,0,0,2,9,89,1,1541,11014,40981,4215,5689,780298,EUW1_7275124164
0,0,67,0,0,207,127,0,0,0,0,1229,1674,24,3,0,0,47,365,0,0,0,0,0,0,1544,0,0,753,46323,8058,6875,47007,8630,7629,684,572,0,0,2,10,96,1,1138,10857,49532,4769,7039,840313,EUW1_7275124164
0,0,73,0,0,198,130,0,0,0,0,1688,1787,25,3,0,0,49,385,0,0,0,0,0,0,274,0,0,753,51457,9101,7057,52141,9673,7810,684,572,0,0,2,11,104,1,1411,12461,52204,5025,7605,900321,EUW1_7275124164
0,0,67,0,0,225,130,0,0,0,0,328,1787,25,3,0,0,49,385,0,0,0,0,0,0,745,0,0,990,60749,11379,8720,61433,11951,9710,684,572,0,0,2,11,115,1,2333,12090,60225,5495,8527,960343,EUW1_7275124164
0,0,101,0,0,204,134,0,0,0,0,1826,1904,26,3,0,0,52,385,0,0,0,0,0,0,309,0,0,990,68031,11379,8924,69003,11951,9914,972,572,0,0,2,12,122,1,1384,8767,62095,6109,8973,1020368,EUW1_7275124164
0,0,106,0,0,214,134,0,0,0,0,0,1904,26,3,0,0,54,385,0,0,0,0,0,0,131,0,0,1834,69752,12887,10186,71014,13749,12076,1262,862,55,0,2,12,122,1,4206,7393,64934,6281,9059,1080393,EUW1_7275124164
0,0,111,0,0,220,138,0,0,0,0,2025,2025,27,3,0,0,57,385,0,0,0,0,0,0,634,0,0,1834,80167,12887,10244,81431,13749,12134,1264,862,55,0,2,13,136,1,3540,9847,71804,6784,10012,1140412,EUW1_7275124164
0,0,111,0,0,222,138,0,0,0,0,2025,2025,27,3,0,0,57,385,0,0,0,0,0,0,826,0,0,1834,81825,12887,10244,83089,13749,12134,1264,862,55,0,2,13,141,1,1327,10933,71804,6976,10588,1200431,EUW1_7275124164
0,0,111,0,0,246,138,0,0,0,0,0,2025,27,3,0,0,57,385,0,0,0,0,0,0,1243,0,0,2820,90676,14881,11673,91940,15743,14685,1264,862,191,0,2,13,151,1,5349,13100,77652,7393,11254,1260434,EUW1_7275124164
0,0,123,0,0,236,142,0,0,0,0,2473,2549,29,3,0,0,60,385,0,0,0,0,0,0,276,0,0,2820,92937,14881,11767,94201,15743,14779,1264,862,191,0,2,14,151,1,8412,2599,79590,7566,12247,1320446,EUW1_7275124164
0,0,123,0,0,242,142,0,0,0,0,0,2549,29,3,0,0,60,385,0,0,0,0,0,0,257,0,0,3500,102909,15797,14201,104309,16791,17893,1400,994,191,0,6,14,159,1,13961,4922,85936,8047,12908,1380447,EUW1_7275124164
0,0,139,0,0,242,142,0,0,0,0,2549,2549,29,3,0,0,60,385,0,0,0,0,0,0,109,0,0,3500,102913,15797,14201,104313,16791,17893,1400,994,191,0,6,14,160,1,10190,5780,85936,8204,12908,1440449,EUW1_7275124164
0,0,144,0,0,245,146,0,0,7,0,0,2676,30,3,0,0,62,385,0,0,0,0,0,0,314,0,0,4308,112620,19698,16981,114020,20692,21481,1400,994,191,0,6,15,164,1,13221,2908,91890,8409,13323,1500453,EUW1_7275124164
0,0,160,0,0,245,146,0,0,7,0,2627,2676,30,3,0,0,62,385,0,0,0,0,0,0,241,0,0,4308,117964,19698,17077,119364,20692,21576,1400,994,191,0,6,15,170,1,7940,8132,93794,8636,13599,1560474,EUW1_7275124164
0,0,160,0,0,270,146,0,0,7,0,18,2676,30,3,0,0,62,385,0,0,0,0,0,0,141,0,0,4624,121043,22531,20433,122793,23875,25248,1750,1344,191,0,6,15,171,1,8195,13478,95991,9386,14307,1620482,EUW1_7275124164
0,0,160,0,0,270,146,0,0,7,0,2676,2676,30,3,0,0,62,385,0,0,0,0,0,0,326,0,0,4624,124674,22531,20433,126424,23875,25248,1750,1344,191,0,6,15,174,1,7910,7632,99481,9571,14517,1680488,EUW1_7275124164
0,0,166,0,0,274,150,0,0,7,0,2324,2807,31,3,0,0,65,385,0,0,0,0,0,0,844,0,0,4680,138551,22531,21170,140301,23875,26041,1750,1344,191,0,6,16,187,1,9982,8492,103322,10089,15173,1740500,EUW1_7275124164
0,0,166,0,0,284,150,0,0,15,0,0,2807,31,3,0,0,65,385,0,0,0,0,0,0,332,0,0,6264,140003,23983,22654,141753,25327,29111,1750,1344,191,0,6,16,187,1,4868,10072,104498,10277,15390,1800517,EUW1_7275124164
0,0,166,0,0,284,150,0,0,15,0,2785,2807,31,3,0,0,65,385,0,0,0,0,0,0,657,0,0,6264,147180,23983,22714,148930,25327,29171,1750,1344,191,0,6,16,195,1,7013,7123,106832,10601,15791,1860518,EUW1_7275124164
0,0,172,0,0,287,155,0,0,15,0,2850,2942,32,3,0,0,68,385,0,0,0,0,0,0,1259,0,0,6264,163655,23983,23022,165405,25327,29478,1750,1344,191,0,6,17,210,1,5248,7319,110860,11204,16647,1920521,EUW1_7275124164
0,0,172,0,0,287,155,0,0,15,0,562,2942,32,3,0,0,68,385,0,0,0,0,0,0,1972,0,0,6528,170934,24802,25557,172864,26146,32277,1930,1344,191,0,6,17,219,1,9057,11337,113933,11917,17562,1980528,EUW1_7275124164
0,0,193,0,0,322,155,0,0,15,0,2942,2942,32,3,0,0,68,385,0,0,0,0,0,0,894,0,0,6528,180941,24802,25594,182875,26146,32337,1934,1344,215,0,10,17,225,1,8871,6548,118609,12339,18083,2040529,EUW1_7275124164
0,0,199,0,0,326,159,0,0,15,0,440,3080,34,3,0,0,71,385,0,0,0,0,0,0,1633,0,0,8508,188345,28432,26995,190407,29902,36680,2062,1469,1176,0,10,18,232,1,10953,4180,122589,13088,18972,2100553,EUW1_7275124164
0,0,199,0,0,326,159,0,0,22,0,479,3080,34,3,0,0,71,385,0,0,0,0,0,0,1651,0,0,8508,189253,28432,26995,191316,29902,36690,2062,1469,1186,0,10,18,232,1,9235,5412,122589,13105,19082,2109423,EUW1_7275124164
0,0,32,0,0,25,100,0,0,0,0,610,610,0,0,0,0,32,340,0,0,0,60,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,593,464,0,500,0,0,EUW1_7275124164
0,0,32,0,0,65,113,0,0,0,0,620,620,12,0,0,0,32,340,0,0,0,60,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9029,11332,0,500,0,60017,EUW1_7275124164
0,0,35,0,0,66,113,0,0,0,0,650,701,19,0,0,0,33,340,0,0,0,60,0,0,256,0,0,0,3242,0,359,4655,0,359,1412,0,0,0,8,2,0,2,4551,8499,0,706,475,120032,EUW1_7275124164
0,0,38,0,0,67,137,0,0,0,0,377,786,21,0,0,0,35,340,0,0,0,60,0,0,599,0,0,567,8657,0,1266,11768,0,1834,3111,0,0,0,18,3,0,2,4003,6117,47920,1049,880,180044,EUW1_7275124164
0,0,42,0,0,68,117,0,0,0,0,729,874,14,0,0,0,36,340,0,0,0,60,0,0,932,189,56,686,13279,393,1651,17788,450,2337,4319,0,0,0,28,4,0,2,6259,9009,91667,1382,1290,240066,EUW1_7275124164
0,0,42,0,0,78,157,0,0,0,0,788,874,14,0,0,0,36,340,0,0,0,60,0,0,65,711,56,686,18089,393,2064,25396,450,2751,6595,0,0,0,36,4,0,2,7959,4091,109006,1640,1566,300144,EUW1_7275124164
0,0,46,0,0,80,138,0,0,0,0,965,965,35,0,0,0,38,340,0,0,0,60,0,0,482,1039,56,1027,23931,393,2627,33623,450,3655,8652,0,0,0,48,5,0,2,3718,9656,136631,2057,2191,360148,EUW1_7275124164
0,0,50,0,0,81,171,0,0,0,0,880,1061,80,0,0,0,40,340,0,0,0,60,0,0,839,1815,119,1027,34702,851,4260,49720,997,5288,13201,27,0,0,54,6,0,2,7240,10714,173042,2414,2527,420149,EUW1_7275124164
0,0,50,0,0,91,192,0,0,0,0,1037,1061,80,0,0,0,40,340,0,0,0,60,0,0,256,1999,119,1027,41231,851,5058,59563,997,6086,16333,27,0,0,62,6,0,2,7041,5268,196378,2756,2984,480176,EUW1_7275124164
0,0,54,0,0,92,197,0,0,0,0,1159,1159,87,0,0,0,41,340,0,0,0,60,0,0,718,2434,119,1310,50391,851,5964,73004,997,7275,20178,27,0,0,74,7,4,2,2331,8324,246927,3218,3682,540212,EUW1_7275124164
0,0,59,0,0,95,197,0,0,0,0,1385,1385,18,0,0,0,43,350,0,0,38,60,0,0,1476,3269,189,1418,57324,1289,6236,84028,1558,7654,23434,79,0,0,86,8,8,2,10170,6107,278024,3976,4668,600236,EUW1_7275124164
0,0,41,0,0,140,344,0,0,0,0,362,1415,18,20,0,0,43,390,0,0,162,180,0,0,486,3615,284,1792,62118,1752,7383,92691,2148,9176,26956,111,0,0,88,8,9,2,4686,9536,280967,4191,4854,660248,EUW1_7275124164
0,0,63,0,0,133,188,0,0,0,0,1334,1367,20,0,0,0,45,390,0,0,0,180,0,0,419,3732,284,2019,66143,1966,7881,99104,2362,9901,29228,111,0,0,92,9,9,2,3932,6569,283208,4474,5303,720272,EUW1_7275124164
0,0,63,0,0,133,190,0,0,0,0,1367,1367,102,0,0,0,45,390,0,0,0,180,0,0,851,4627,368,2082,76706,2193,8650,113243,2718,10733,31908,156,0,0,104,9,10,2,10089,3286,301663,4911,5911,780298,EUW1_7275124164
0,0,68,0,0,156,223,0,0,0,0,123,1476,21,0,0,0,47,135,0,0,0,180,0,0,1495,4827,451,2744,80868,2862,9725,118901,3708,12521,33204,394,51,0,108,10,10,2,13468,2606,325635,5555,6498,840313,EUW1_7275124164
0,0,68,0,0,156,234,0,0,0,0,1388,1476,21,0,0,0,47,390,0,0,0,180,0,0,382,5418,451,2872,89607,2862,10322,130715,3708,13247,35689,394,51,0,116,10,10,2,2199,8403,334310,5892,6995,900321,EUW1_7275124164
0,0,68,0,0,183,278,0,0,0,0,1823,1828,22,0,0,0,49,390,0,0,58,60,0,0,1065,5521,554,3124,100779,3502,10611,144397,4478,13787,38096,422,51,0,128,11,10,2,2291,12154,336181,6575,8109,960343,EUW1_7275124164
0,0,78,0,0,179,284,0,0,0,0,1872,1944,23,0,0,0,52,390,0,0,151,180,0,0,1462,5581,614,3195,105191,3793,11562,156843,4830,14810,46070,422,51,0,132,12,11,2,8742,10157,336181,6977,8582,1020368,EUW1_7275124164
0,0,82,0,0,174,304,0,0,0,0,932,2406,23,0,0,0,54,511,0,0,151,180,0,0,179,5695,614,3600,105957,4366,12777,159310,5740,16679,47657,759,301,0,136,12,11,2,9928,8145,340581,7194,8769,1080393,EUW1_7275124164
0,0,82,0,0,177,270,0,0,0,0,848,2406,23,0,0,0,54,390,0,0,91,180,0,0,886,6833,718,3942,119480,4612,13998,177590,6090,18243,51276,759,301,0,148,12,11,2,3400,6572,370043,7901,9626,1140412,EUW1_7275124164
0,0,87,0,0,180,326,0,0,0,0,2526,2526,176,0,0,0,104,511,0,0,31,180,0,0,267,8223,718,3942,136608,4612,14756,202699,6090,19001,57867,759,301,0,163,13,11,2,3677,7866,403131,8382,10670,1200431,EUW1_7275124164
0,0,77,0,0,180,330,0,0,0,0,1516,2526,25,0,0,0,93,442,0,0,55,60,0,0,973,8450,837,4365,142609,5174,16352,213954,6809,21019,62894,797,301,0,167,13,13,2,3758,11275,415672,9098,11167,1260434,EUW1_7275124164
0,0,100,0,0,190,310,0,0,0,0,2688,2775,27,0,0,0,110,509,0,0,31,60,0,0,1924,10295,914,4986,155978,6397,17408,233174,8401,22697,66900,1089,301,0,179,15,13,2,8134,10079,444797,10048,13169,1320446,EUW1_7275124164
0,0,116,0,0,190,313,0,0,20,0,0,2523,27,0,0,0,110,390,0,0,0,60,0,0,451,10816,1170,5860,163705,7788,19895,243110,10382,26125,68588,1423,368,0,183,15,13,2,13499,4305,460861,10576,13662,1380447,EUW1_7275124164
0,0,116,0,0,190,349,0,0,20,0,2491,2523,27,0,0,0,110,390,0,0,0,60,0,0,678,11066,1170,5860,167923,7788,19982,252617,10382,26212,73627,1423,368,0,187,15,14,2,10008,5106,466467,10803,13847,1440449,EUW1_7275124164
0,0,122,0,0,192,432,0,0,26,0,2922,2955,29,0,0,0,113,390,0,0,14,60,0,0,1099,13734,1170,6057,183179,7788,20857,276679,10382,27283,79766,1423,368,0,203,16,14,2,6580,7724,487860,11223,14738,1500453,EUW1_7275124164
0,0,122,0,0,192,325,0,0,26,0,2441,2653,29,0,0,0,113,481,0,0,0,60,0,0,1510,15800,1515,6162,193645,8836,21607,290599,11892,28223,81155,1539,452,0,207,16,22,2,7812,11787,518944,11640,15295,1560474,EUW1_7275124164
0,0,138,0,0,192,334,0,0,26,0,0,2653,29,0,0,0,113,410,0,0,47,60,0,0,1552,16327,2043,7339,195983,11175,24125,293686,14978,32039,81375,1760,574,0,207,16,22,2,6753,13430,529347,12281,15954,1620482,EUW1_7275124164
0,0,138,0,0,212,365,0,0,26,0,2542,2653,29,0,0,0,113,410,0,0,0,60,0,0,349,17336,2043,7339,205052,11175,24592,306070,14978,32505,83682,1760,574,0,211,16,22,2,3966,7800,534023,12529,16154,1680488,EUW1_7275124164
0,0,144,0,0,214,409,0,0,26,0,2207,2786,30,0,0,0,116,410,0,0,0,60,0,0,618,18014,2467,7386,210824,12651,26044,313523,17364,34005,84685,2246,574,0,215,17,23,2,10997,8533,538617,12802,16794,1740500,EUW1_7275124164
0,0,144,0,0,214,375,0,0,31,0,0,2786,30,0,0,0,116,410,0,0,35,60,0,0,875,20112,2573,7883,224312,13507,29486,334527,18454,38192,90103,2373,822,0,223,17,23,2,6137,6481,544647,13059,17638,1800517,EUW1_7275124164
0,0,144,0,0,214,418,0,0,31,0,2786,2786,30,0,0,0,116,548,0,0,0,60,0,0,547,20112,2573,7883,224312,13507,29486,334527,18454,38192,90103,2373,822,0,223,17,23,2,3880,911,544647,13182,17638,1860518,EUW1_7275124164
0,0,150,0,0,240,423,0,0,31,0,2916,2923,32,0,0,0,118,423,0,0,0,60,0,0,931,21837,2597,8075,235919,13838,29723,350509,18809,38620,92753,2373,822,0,234,18,23,2,5294,5603,556799,13565,18428,1920521,EUW1_7275124164
0,0,150,0,0,225,525,0,0,31,0,2176,3249,32,0,0,0,118,479,0,0,53,60,0,0,1581,22858,3163,8638,243220,16007,31240,362764,22320,41376,96685,3148,1497,0,234,18,29,2,11841,10703,571205,14215,19414,1980528,EUW1_7275124164
0,0,166,0,0,226,398,0,0,31,0,85,2923,32,0,0,0,118,410,0,0,49,60,0,0,303,22858,3163,8638,243342,16129,33496,362885,22441,43632,96685,3148,1497,0,234,18,29,2,12753,10596,574219,14337,19414,2040529,EUW1_7275124164
0,0,166,0,0,226,532,0,0,31,0,2741,3261,32,20,0,0,118,410,0,0,54,60,0,0,810,24093,3595,9350,248537,17046,34533,370982,23892,45380,98352,3250,1497,0,234,18,32,2,10392,4882,585673,14854,19993,2100553,EUW1_7275124164
0,0,166,0,0,226,536,0,0,38,0,3114,3261,32,0,0,0,118,410,0,0,56,60,0,0,893,24571,3595,9350,250975,17046,34931,376158,23892,45778,100612,3250,1497,0,238,18,32,2,10206,4854,585673,14937,20183,2109423,EUW1_7275124164
0,0,21,0,0,25,100,0,0,0,0,580,580,0,0,0,0,30,330,0,0,480,480,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,557,345,0,500,0,0,EUW1_7275124164
0,27,21,0,0,54,110,0,0,0,0,680,680,11,0,0,0,30,330,0,0,480,480,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,8727,6436,0,500,0,60017,EUW1_7275124164
0,27,21,0,0,54,110,0,0,0,0,366,680,91,0,0,0,30,330,0,0,459,480,15,0,132,517,0,217,696,47,140,1213,47,398,0,0,40,0,0,1,5,3,7477,7009,8851,632,276,120032,EUW1_7275124164
0,27,27,0,0,58,113,0,0,0,0,580,860,12,0,0,0,31,330,0,0,332,574,17,0,416,2236,263,441,1187,47,140,3451,311,645,27,0,63,0,0,3,14,3,8736,6459,56384,916,829,180044,EUW1_7275124164
0,27,31,0,0,61,115,0,0,0,0,404,956,13,0,0,0,32,330,0,0,173,622,18,0,769,4339,377,715,1847,47,159,6213,425,996,27,0,121,0,0,4,25,3,6927,7387,82437,1269,1445,240066,EUW1_7275124164
0,67,35,0,0,64,117,0,0,0,0,942,1056,14,0,0,0,34,330,0,0,972,972,19,0,64,5950,653,1055,2658,47,247,8636,700,1454,27,0,151,0,0,5,33,3,1086,1193,108191,1839,2081,300144,EUW1_7275124164
0,67,39,0,0,67,119,0,0,0,0,659,1160,15,0,0,0,35,330,0,0,721,1023,20,0,389,8726,1074,1417,3439,47,331,12248,1121,1934,82,0,185,0,0,6,45,3,6676,6617,142914,2164,2643,360148,EUW1_7275124164
0,67,43,0,0,69,122,0,0,0,0,826,1268,16,0,0,0,36,330,0,0,950,1100,22,0,798,12075,1944,1634,3937,109,331,18834,2054,2188,2821,0,223,0,0,7,54,3,6910,6987,175082,2573,3276,420149,EUW1_7275124164
0,97,43,0,0,69,122,0,0,0,0,0,1268,16,0,0,0,36,330,0,0,562,1150,22,0,161,15163,2606,2411,4537,109,443,22556,2716,3119,2855,0,264,0,0,7,62,3,5360,7115,201336,2836,3675,480176,EUW1_7275124164
0,97,43,0,0,69,122,0,0,0,0,1268,1268,16,0,0,0,36,330,0,0,961,1150,22,0,388,17673,2606,2411,4837,109,443,25367,2716,3119,2855,0,264,0,0,7,68,3,6054,6845,225195,3063,3952,540212,EUW1_7275124164
0,98,48,0,0,73,124,0,0,0,0,703,1379,17,0,0,0,37,330,0,0,634,1203,23,0,1085,25277,3326,2918,5582,158,642,33834,3484,3870,2975,0,309,0,0,8,81,3,7701,7690,285584,3760,4930,600236,EUW1_7275124164
0,118,52,0,0,76,126,0,0,0,0,1494,1494,18,0,0,0,38,355,0,0,873,1532,25,0,673,30166,5726,2918,5946,203,642,39139,5929,3870,3026,0,309,0,0,9,88,3,4970,9026,317592,4348,5779,660248,EUW1_7275124164
0,111,57,0,0,79,129,0,0,0,0,1433,1613,19,0,0,0,40,355,0,0,370,1562,26,0,1478,36979,6779,2982,7111,452,848,47159,7232,4161,3069,0,329,0,0,10,102,3,7849,7844,333705,5153,6533,720272,EUW1_7275124164
0,111,57,0,0,79,129,0,0,0,0,1224,1613,19,0,0,0,40,355,0,0,84,1562,26,0,1766,38789,7360,2982,7702,452,1175,49647,7813,4488,3156,0,329,0,0,10,108,3,6684,6632,355628,5441,6996,780298,EUW1_7275124164
0,136,62,0,0,82,131,0,0,0,0,1736,1736,20,0,12,0,41,375,0,0,1513,1593,28,0,394,42470,7360,2982,8386,452,1175,54062,7813,4488,3205,0,329,0,0,11,118,3,11274,4647,381975,5794,7583,840313,EUW1_7275124164
0,145,62,0,0,82,131,0,0,0,0,1450,1736,20,0,12,0,41,375,0,0,845,1593,28,0,826,49855,8811,3048,8779,667,1510,61982,9479,4888,3347,0,329,0,0,11,127,3,7551,7319,417049,6231,8384,900321,EUW1_7275124164
0,145,67,0,0,86,134,0,0,0,0,1585,1863,21,0,12,0,42,375,0,0,234,1625,29,0,1321,54894,11843,3048,9507,853,1631,67749,12696,5009,3347,0,329,0,0,12,132,3,2715,11244,440058,6726,9421,960343,EUW1_7275124164
0,147,72,0,0,90,137,0,0,0,0,1813,1993,23,0,12,0,44,375,0,0,117,1658,31,0,1817,61261,11843,3048,10796,853,1668,75456,12696,5046,3397,0,329,0,0,13,147,3,7329,7526,478405,7222,10170,1020368,EUW1_7275124164
0,198,76,0,0,90,137,0,0,0,0,1723,1993,23,0,12,0,46,375,0,0,1168,1658,31,0,618,65574,13679,3303,11390,975,1705,80397,14654,5338,3432,0,329,0,0,13,154,3,7505,7153,503824,7874,11304,1080393,EUW1_7275124164
0,201,81,0,0,93,140,0,0,0,0,0,2127,24,0,12,0,48,375,0,0,792,1692,33,0,1250,73620,18024,4238,11701,1095,2749,88848,19120,7357,3525,0,369,0,0,14,161,3,6674,11437,533386,8505,11750,1140412,EUW1_7275124164
0,230,81,0,0,93,140,0,0,0,0,2127,2127,24,0,12,13,48,375,0,0,1354,1692,33,0,370,78722,18024,4238,11895,1095,2749,94180,19120,7357,3562,0,369,0,0,14,167,3,7135,7288,553897,8725,12262,1200431,EUW1_7275124164
0,230,41,0,0,93,140,0,0,0,0,523,2127,24,0,12,13,8,375,0,0,1007,1692,33,0,751,84231,20097,5179,12845,1262,3494,104890,21360,9043,7813,0,369,0,0,14,171,3,3065,12396,576307,9106,12683,1260434,EUW1_7275124164
0,285,88,0,0,97,143,0,0,0,0,2244,2265,161,0,14,13,50,375,0,0,1727,1727,34,0,505,86331,20648,5419,12996,1262,3803,107357,21911,9592,8029,0,369,0,0,15,172,3,4258,4110,576307,9710,14078,1320446,EUW1_7275124164
0,286,88,0,0,97,143,0,0,0,0,1768,2265,25,0,14,13,50,375,0,0,986,1727,34,0,717,90491,24459,5419,13150,1317,4357,111671,25776,10145,8029,0,369,0,0,15,174,3,11785,4126,585711,9922,14394,1380447,EUW1_7275124164
0,286,94,0,0,101,146,0,0,0,0,2328,2407,26,0,14,13,51,375,0,0,517,1764,36,0,1123,99594,26895,5419,13883,1317,4448,121574,28212,10237,8096,0,369,0,0,16,186,3,8156,7493,618519,10332,14946,1440449,EUW1_7275124164
0,311,94,0,0,101,146,0,0,7,0,2407,2407,26,0,14,39,51,375,0,0,1640,1764,36,0,369,104684,26895,5419,14580,1317,4512,127410,28212,10301,8145,0,369,0,0,16,192,3,7859,787,635158,10629,15313,1500453,EUW1_7275124164
